id,number,external_id,title,plot,poster,season_id,inserted_at,updated_at
3,3,23797,Birds of a Feather,"Jessica heads to San Francisco for the wedding of her niece, Victoria Brandon, only to learn that Victoria is having second thoughts because she suspects that her fiancé, Howard, is having an affair. Although Jessica and Victoria are relieved to learn that Howard isn't cheating but rather dressing up as a woman to perform at a nightclub, the relief is short lived when Howard is arrested for murdering his boss, Al Drake, who had been refusing to pay him. The police are convinced that Drake was shot during Freddy York's act, which doesn't leave a lot of time, but Jessica is determined to prove Howard's innocence.",r2Out1WwCC3rO6FdpaDlX15bdZp.jpg,1,2020-12-13 11:39:59,2021-04-21 18:21:48
4,4,23798,Hooray for Homicide,"Jessica's first book, The Corpse Danced at Midnight, is being made into a major Hollywood motion picture, backed by producer Jerry Lydecker. Jessica is furious to see how her book is being butchered by Lydecker and his crew. She heads out to Hollywood to confront Lydecker, but things take a turn when Lydecker is found dead on stage. Jessica ends up being the prime suspect in the murder, but luckily the officer in charge of the investigation believes she's too smart to be the killer and sets her up to find the real murderer.",4livhJhwpHGqrbRh039EuvKt5WY.jpg,1,2020-12-13 11:39:59,2021-04-21 18:21:48
6,6,23800,Lovers and Other Killers,"While in Seattle lecturing at the university, Jessica is convinced that the young man she hired as her secretary is not a killer.",70wOdFvkFxpSFeYf3XtGjYE4C6b.jpg,1,2020-12-13 11:39:59,2021-04-21 18:21:48
85,19,23874,Just Another Fish Story,Somebody put the maitre d'on ice. Jessica wonders if she has made a bad investment.,in0pxevtrfEMNynTALb6NOl8djQ.jpg,4,2020-12-13 11:40:01,2021-04-21 18:21:48
86,20,23875,Showdown in Saskatchewan,Arson is intended to remove the Rodeo doctor and his patient permanently.,8EQLz7Oz6x7JacRQtWLCr0EUoZX.jpg,4,2020-12-13 11:40:01,2021-04-21 18:21:48
191,15,24044,The Petrified Florist,Was a Beverly Hills florist killed because he was supplying more than flowers for gossip magazine editors?,wejdqBSgdZ6LPUfxM19jTHlfcMA.jpg,9,2020-12-13 11:40:02,2021-04-21 18:21:48
69,3,23860,Witness for the Defense,Jessica goes to Quebec to testify at the trial of a friend who is accused of killing his wife and burning his house.,x9zxWKghqpXljaiTr0TCtwRVhMB.jpg,4,2020-12-13 11:40:00,2021-04-21 18:21:48
70,4,23863,Old Habits Die Hard,A terminally ill nun seems to have committed suicide which would be an unacceptable sin.,16gwChRoVnCm49endtQjcAI5HXw.jpg,4,2020-12-13 11:40:00,2021-04-21 18:21:48
71,5,23790,The Way To Dusty Death,"After the 'accidental' death of a tycoon, his associates battle for position to succeed him.",i8hxm0rO0mFZdYhvGvFJo0PeyUR.jpg,4,2020-12-13 11:40:00,2021-04-21 18:21:48
72,6,23864,It Runs In The Family,Cousin Emma in London has a new problem when someone serves her lover poisoned herring.,5KvO6ACmp0OrunsEgneTMuGXF4i.jpg,4,2020-12-13 11:40:00,2021-04-21 18:21:48
