id,number,external_id,inserted_at,updated_at
1,1,1371,2020-12-13 11:39:58.546276+01,2021-04-21 18:14:49.406159+02
2,2,1372,2020-12-13 11:39:58.55405+01,2021-04-21 18:14:49.406159+02
3,3,1373,2020-12-13 11:39:58.560442+01,2021-04-21 18:14:49.406159+02
4,4,1374,2020-12-13 11:39:58.56745+01,2021-04-21 18:14:49.406159+02
5,5,1378,2020-12-13 11:39:58.574118+01,2021-04-21 18:14:49.406159+02
6,6,1377,2020-12-13 11:39:58.58144+01,2021-04-21 18:14:49.406159+02
7,7,1375,2020-12-13 11:39:58.588003+01,2021-04-21 18:14:49.406159+02
8,8,1376,2020-12-13 11:39:58.597233+01,2021-04-21 18:14:49.406159+02
9,9,1382,2020-12-13 11:39:58.604517+01,2021-04-21 18:14:49.406159+02
10,10,1380,2020-12-13 11:39:58.611034+01,2021-04-21 18:14:49.406159+02
11,11,1379,2020-12-13 11:39:58.617763+01,2021-04-21 18:14:49.406159+02
12,12,1381,2020-12-13 11:39:58.624749+01,2021-04-21 18:14:49.406159+02
